Timestamp,Overall Confidence,Confidence for Teaching and Learning,Syncing Email,Listserv,Emailing Several People,Emailing Attachments,Finding Outgoing Emails,Installing Software,Using a Spreadsheet,Creating a Newsletter,Saving Documents,Using Track Changes,Editing Text,Create Presentations,Create a Database,Protect my Computer,Edit a Digital Photo,Using Flash,Editing a Movie,Editing a Podcast,Creating a Smartphone App,Using a 3-D Printer,Working with AR,Advanced Search,Finding Primary Sources,Creating a Website / Blog,Keeping Track of Websites,Using Social Bookmarking,Viewing a Google Doc's History,Using Bibliography Tools,Using Cloud Storage,Use Server Technologies,Use Skype,Customize Privacy Settings,Use Facebook,Use Twitter,Use Pinterest,Use Google +,Create Group Spaces,Use Cloud Storage,Send Photos from a Smartphone,Download Apps,Configure a Network,Use a Digital Camera,Write a Grant,Use GPS,Finding File Size,Navigate a Firewall,Most Important,date,year,time
6/19/2013 7:32:44,3,4,5,5,5,5,5,5,3,4,5,2,5,5,3,3,4,2,2,2,1,3,3,4,3,5,5,2,2,2,2,3,5,5,5,1,5,3,4,3,5,5,5,5,3,5,5,2,"- ways to integrate technology applications for small group instruction
- ways to use technology to further positive communication/interactions with parents
- creating apps for lower elementary students
- different means for creating an interactive website for classroom website
- different methods of using technology as a tool for differentiating instruction",2013-06-19T07:32:44Z,2013,pre
6/19/2013 8:00:46,5,3,5,2,5,5,5,5,5,4,5,4,5,5,3,5,5,1,4,3,1,2,1,4,3,5,5,3,4,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,I want to get better with the integration of technology in the classroom. I want to make the lessons interactive and engaging for my students with the overall focus on developing higher level thinking questions for my students.,2013-06-19T08:00:46Z,2013,pre
6/19/2013 8:50:31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,1,1,1,5,5,5,5,3,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,"1) Recommended Educational apps
2) When is the newest technology to new? 
3) What are some of the biggest trends in technology?",2013-06-19T08:50:31Z,2013,pre
6/19/2013 10:01:13,3,3,3,2,2,4,3,4,3,1,3,2,3,4,1,3,1,1,3,3,1,1,1,3,3,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,3,3,3,4,1,1,4,1,"Presentation tools (other than Powerpoint and Google Apps), Bibliographic technology (Elementary School emphasis if possible), Strategies to broaden research habits (instead of just text or just technology, how to balance and build problem solving and critical thinking)",2013-06-19T10:01:13Z,2013,pre
6/19/2013 10:43:04,4,4,5,4,5,5,5,5,4,5,5,4,5,5,3,4,3,2,3,4,1,1,1,4,4,4,5,3,4,1,3,2,4,5,5,4,5,3,3,3,5,5,5,5,1,4,2,2,"Grant writing, more academic technology for early elementary, oh and did I say grant writing",2013-06-19T10:43:04Z,2013,pre
6/19/2013 10:44:00,3,4,3,3,4,5,5,4,3,4,4,5,4,4,2,3,2,2,3,3,1,1,1,3,5,4,4,3,4,2,3,4,4,4,4,4,2,3,3,3,5,5,5,4,3,5,4,2,"RSS feeds
digital primary source collections
digital portfolios",2013-06-19T10:44:00Z,2013,pre
6/19/2013 10:44:06,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,2,4,3,1,1,1,4,4,5,5,4,3,3,4,4,4,5,5,5,3,2,5,5,5,5,3,5,2,5,5,2,"Technology Leadership
BenefitsTwitter vs. Facebook in the classroom
I hate to say it, but research
",2013-06-19T10:44:06Z,2013,pre
6/19/2013 10:46:47,3,4,4,1,5,5,4,4,1,4,1,2,5,5,1,4,2,1,3,4,1,1,1,4,4,5,4,3,3,1,5,1,3,1,1,5,2,4,4,4,5,5,5,5,1,4,1,1,I would like to learn more about creating apps,2013-06-19T10:46:47Z,2013,pre
6/19/2013 10:47:18,4,3,5,1,5,5,5,4,5,3,3,3,4,5,3,4,4,2,2,2,1,1,1,4,4,4,4,3,4,1,4,2,4,4,5,4,4,3,3,4,5,5,4,5,2,5,3,2,"podcast
edmodo
voicethread (or other voice embedding tools)",2013-06-19T10:47:18Z,2013,pre
6/19/2013 10:47:41,4,3,5,5,5,5,5,4,5,5,5,1,5,5,1,2,4,1,3,3,1,1,1,4,2,4,4,2,4,1,3,3,4,4,4,4,4,1,3,3,5,5,5,5,1,4,3,1,"Motivation for technology for non-tech driven students.
Grant writing for more funding.
Ideas/techniques for delivering staff PD.",2013-06-19T10:47:41Z,2013,pre
6/19/2013 10:48:12,3,3,5,4,4,5,5,4,3,4,5,1,5,5,1,2,3,1,1,3,1,1,1,2,3,5,5,5,3,1,3,1,5,4,5,5,5,3,4,3,5,5,5,5,1,5,2,1,"1) How can I use technology to help me differentiate tasks for various students in my classroom?
2) I would like to learn more about assistive technology, especially for special education
3) How can iPads/tablets be used in education?",2013-06-19T10:48:12Z,2013,pre
6/19/2013 11:01:45,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,3,3,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,5,3,"Learning about additional technology based tools I can learn to use in the classroom
Finding safe ways for students to engage in technology based learning",2013-06-19T11:01:45Z,2013,pre
6/19/2013 11:05:23,3,3,3,1,3,4,4,3,3,4,4,2,3,3,2,2,2,2,2,2,1,1,2,2,3,2,3,3,3,2,2,2,2,2,3,2,3,2,2,2,5,5,4,4,1,2,3,1,"RSS
Augmented Reality in the classroom
digital workstations",2013-06-19T11:05:23Z,2013,pre
6/19/2013 11:05:30,4,2,3,3,2,5,5,4,3,4,4,4,4,4,2,3,2,2,4,2,1,1,2,2,2,4,3,3,2,1,2,3,3,3,4,3,4,2,2,3,4,5,5,4,1,3,2,1,"classroom implementation
storybird
one-to-one device in classroom
online instructing",2013-06-19T11:05:30Z,2013,pre
6/19/2013 11:07:12,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4,1,2,1,5,4,5,5,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,"learning a variety of tools that can be used in multiple classes, but in different ways. Continue to expand my PLC.",2013-06-19T11:07:12Z,2013,pre
6/19/2013 11:08:16,3,3,4,5,4,5,5,3,4,3,4,3,5,4,3,3,4,3,3,3,1,1,1,4,4,4,5,3,4,1,3,3,4,3,3,5,3,4,3,3,5,5,4,5,3,3,3,2,"Using technology to gain higher level thinking

Tech tips that can be used within the classroom to make learning more engaging.",2013-06-19T11:08:16Z,2013,pre
6/19/2013 11:14:37,3,4,4,5,4,5,5,5,4,4,5,5,5,5,2,2,4,2,4,3,1,1,1,5,4,5,5,4,5,1,3,3,3,3,2,3,1,2,2,3,4,4,4,5,3,3,3,1,"- how to keep equity in the classroom as more schools allow mobile technology, but not all students have the tools
- how to use technology for differentiated learning/teaching
- how to use technology in schools that do not have good IT support staff

",2013-06-19T11:14:37Z,2013,pre
6/19/2013 11:22:44,4,4,5,4,5,5,5,5,5,4,5,2,5,5,1,5,3,3,5,3,1,1,1,4,3,5,5,4,5,1,5,1,5,5,5,4,5,4,4,4,5,5,5,5,1,5,5,1,"flipped classrooms
SBL
Online/Hybrid classes
iPad apps in education
",2013-06-19T11:22:44Z,2013,pre
6/18/2014 11:46:16,4,4,5,5,5,5,5,5,5,4,5,4,5,5,4,5,3,1,2,1,2,1,4,5,5,5,5,1,4,1,5,4,5,5,5,5,2,3,4,5,5,5,5,5,3,5,5,3,"Application to informal education
",2014-06-18T11:46:16Z,2014,pre
